inst_name,plz,ror_id,dfg_inst_id,federal_state
Leibniz-Institut für Festkörper- und Werkstoffforschung Dresden (IFW) e.V.,01069,04zb59n70,10399,Sachsen
Helmholtz-Zentrum Dresden-Rossendorf (HZDR),01328,01zy2cs03,10400,Sachsen
Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik (IWU),09126,026taa863,10401,Sachsen
Hochschule Magdeburg-Stendal,39114,04vjfp916,10402,Sachsen-Anhalt
Leibniz-Institut für Neurobiologie (LIN),39118,01zwmgk08,10403,Sachsen-Anhalt
Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen (IMWS),06120,050mbz718,10404,Sachsen-Anhalt
Leibniz-Institut für Wirtschaftsforschung Halle (IWH),06108,03gjpvv92,10406,Sachsen-Anhalt
Leibniz-Institut für Pflanzenbiochemie (IPB),06120,01mzk5576,10407,Sachsen-Anhalt
Hochschule Merseburg,06217,04f8x5b20,10408,Sachsen-Anhalt
Leibniz-Institut für Gemüse- und Zierpflanzenbau (IGZ) e.V.,14979,01a62v145,10409,Brandenburg
Materialforschungs- und Prüfanstalt (MFPA),99423,,10410,Thüringen
Hochschule für Musik Franz Liszt Weimar,99423,000evwg49,10411,Thüringen
Hochschule Schmalkalden,98574,02nq4wt82,10412,Thüringen
Ernst-Abbe-Hochschule Jena,07745,01rfnc002,10413,Thüringen
Leibniz-Institut für Photonische Technologien (IPHT),07745,02se0t636,10414,Thüringen
Leibniz-Institut für Naturstoff-Forschung und Infektionsbiologie e.V. Hans-Knöll-Institut,07745,055s37c97,10415,Thüringen
Leibniz-Institut für Alternsforschung - Fritz-Lipmann-Institut e.V. (FLI),07745,039a53269,10416,Thüringen
Thüringer Landessternwarte Tautenburg (TLS) - Karl-Schwarzschild-Observatorium,07778,05jyz4092,10417,Thüringen
Deutsches Rheuma-Forschungszentrum Berlin (DRFZ),10117,00shv0x82,10418,Berlin
Max-Delbrück-Centrum für Molekulare Medizin (MDC) in der Helmholtz-Gemeinschaft,13125,04p5ggc03,10420,Berlin
Hochschule für Technik und Wirtschaft Berlin,10318,01xzwj424,10421,Berlin
Leibniz-Forschungsinstitut für Molekulare Pharmakologie (FMP),13125,010s54n03,10422,Berlin
Helmholtz-Zentrum Berlin für Materialien und Energie GmbH (HZB),14109,02aj13c28,10423,Berlin
Charité - Universitätsmedizin Berlin,10117,001w7jn25,10426,Berlin
Universität Potsdam,14469,03bnmw459,10427,Brandenburg
Bernhard-Nocht-Institut für Tropenmedizin (BNITM),20359,01evwfd48,10431,Hamburg
Forschungszentrum Borstel - Leibniz Lungenzentrum,23845,036ragn25,10435,Schleswig-Holstein
Niedersächsisches Institut für historische Küstenforschung (NIhK),26382,00td4wt22,10439,Niedersachsen
Bundesanstalt für Geowissenschaften und Rohstoffe (BGR),30655,04d77de73,10441,Niedersachsen
Julius Kühn-Institut (JKI) - Bundesforschungsinstitut für Kulturpflanzen,06484,022d5qt08,10444,Sachsen-Anhalt
Physikalisch-Technische Bundesanstalt (PTB),38116,05r3f7h03,10445,Niedersachsen
Herzog August Bibliothek Wolfenbüttel,38304,,10447,Niedersachsen
Niedersächsische Akademie der Wissenschaften zu Göttingen,37073,04hsa7a08,10448,Niedersachsen
Deutsches Primatenzentrum GmbH - Leibniz-Institut für Primatenforschung (DPZ),37077,02f99v835,10450,Niedersachsen
Max-Planck-Institut für Gesellschaftsforschung (MPIFG),50676,01dwpbz64,10460,Nordrhein-Westfalen
Max-Planck-Institut für Mathematik,53111,02dh8ja68,10464,Nordrhein-Westfalen
Universität Koblenz,56070,01j9f6752,10465,Rheinland-Pfalz
DIPF I Leibniz-Institut für Bildungsforschung und Bildungsinformation,60323,0327sr118,10466,Hessen
Paul-Ehrlich-Institut (PEI) - Bundesinstitut für Impfstoffe und biomedizinische Arzneimittel,63225,00yssnc44,10467,Hessen
"Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)",65203,02y05ge92,10468,Hessen
Hochschule Geisenheim University,65366,05myv7q56,10469,Hessen
